topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001,0.1890625,0.1514243906008248,0.16814951351877647,0.011075949367088608,0.008789144220544503,0.009800514187773758,0.12187500000000002,0.09756993070630593,0.10836751545290005
D1002,0.29032258064516125,0.1866363527194796,0.22708699008885308,0.0430327868852459,0.02804939804547465,0.03393026296355685,0.18951612903225806,0.12244185869014271,0.14868732703380336
D1003,0.3476027397260274,0.26159225601145414,0.298309176623651,0.05381944444444445,0.040673540162336465,0.04629815802310728,0.18493150684931506,0.13887285479605316,0.15851491022727973
D1004,0.30892857142857144,0.21464063198015093,0.25320028025150604,0.043478260869565216,0.030062088103265175,0.035535542315162934,0.1767857142857143,0.12288155932347533,0.14493149052497112
D1005,0.33541666666666664,0.19595526762630794,0.24731835460496882,0.09110169491525423,0.05273082637712939,0.0667806644271338,0.17500000000000002,0.10223906341741924,0.12903595171629414
D1006,0.27702702702702703,0.20287036995845525,0.23416816476462685,0.032534246575342464,0.023652604515279382,0.02738383671145647,0.13851351351351351,0.10166566460069804,0.11723993947899498
D1007,0.22265625,0.1452506926969522,0.1757960739143357,0.011904761904761904,0.00772152479762355,0.00936650916985687,0.119140625,0.07779326427672222,0.0941188600178084
D1008,0.16833333333333333,0.1229139534912833,0.14204594589742914,0.016891891891891893,0.012338128118541354,0.01425729381694394,0.10166666666666667,0.07443292523236013,0.08592363736675711
D1009,0.2693452380952381,0.2327281498803103,0.2494387511282396,0.03012048192771085,0.026131578274106483,0.027955971555538417,0.15476190476190477,0.13385021115248846,0.14339782110986612
D1010,0.3285714285714285,0.23615956315612577,0.274589427165223,0.07246376811594203,0.05239632307772607,0.060750849209319974,0.2196428571428571,0.15828681163544805,0.18383229208155205
D1011,0.23823529411764707,0.200278038877784,0.21756301134639444,0.03720238095238095,0.0313843225239742,0.03403731880962461,0.1264705882352941,0.10668045396642233,0.1157057048577155
D1012,0.23994252873563215,0.20914670912525965,0.22345635710527298,0.03488372093023256,0.030014537387191047,0.03226254017065826,0.12643678160919541,0.11019640491913607,0.11774363592436352
D1013,0.22017045454545453,0.19475704700196908,0.20664794763883984,0.007183908045977011,0.006291287023439186,0.006707074097259409,0.11647727272727273,0.10305108406702962,0.10933390218975868
D1014,0.23314606741573032,0.21291048588549769,0.2223118247555197,0.019886363636363633,0.01765428253599751,0.01870318555178282,0.1306179775280899,0.11954141933249665,0.12468643258068307
D1015,0.2800632911392405,0.22882156230328915,0.25165509794500673,0.06570512820512821,0.054501313128371406,0.059524954266250915,0.16455696202531647,0.13396894101174822,0.14758024891498348
D1016,0.10208333333333335,0.06043728374299981,0.07588481180363892,0.0,0.0,0.0,0.07083333333333335,0.04190401474754884,0.05262968151019147
D1017,0.23717948717948717,0.18694908893063217,0.20903838504376285,0.011363636363636366,0.008813646670789528,0.009927314916721695,0.125,0.09857293853586126,0.11019614138658299
D1018,0.1726190476190476,0.14331875109854642,0.15657777178307544,0.039156626506024104,0.0325096989736904,0.035515630366896804,0.10565476190476192,0.08796766085280773,0.09598413801716718
D1019,0.2116477272727273,0.18816795401887781,0.1991816502974693,0.034482758620689655,0.030816033883776756,0.03253756918364111,0.12215909090909091,0.1085434075234962,0.11492692888305281
D1020,0.02678571428571428,0.015039914333657523,0.019259183419129657,0.00909090909090909,0.0050532724349874065,0.006494989179327071,0.02678571428571428,0.015039914333657523,0.019259183419129657
D1021,0.2122093023255814,0.17819582802656478,0.19371016318997158,0.016176470588235292,0.013592685911608338,0.014771570030664058,0.1002906976744186,0.08412420185134221,0.09149360253323996
D1022,0.3255494505494505,0.29425886358336595,0.30895583981457186,0.059722222222222225,0.053966526111011645,0.056664472680442446,0.16346153846153844,0.1477053636629029,0.15510360971406814
D1023,0.10394736842105262,0.1072426152665588,0.10504844659398942,0.0013297872340425532,0.0012755102040816326,0.0013020833333333333,0.0736842105263158,0.07681869595262573,0.07481598874162229
D1024,0.1744186046511628,0.14479440545300637,0.15817318230729405,0.05,0.0411457145016356,0.045126456854996784,0.12209302325581393,0.10122787979732553,0.11064472186992666
D1025,0.2054794520547945,0.1488179493969805,0.17260505289753603,0.010416666666666668,0.007451466020388447,0.008687709887255667,0.09931506849315067,0.07180309672046714,0.08334150591428205
D1026,0.14398734177215192,0.1282885813841823,0.1346386375825001,0.009615384615384616,0.008648510723937668,0.00905862820894043,0.08702531645569621,0.07642814730548163,0.0807854426042254
D1027,0.3544117647058824,0.29792599816086585,0.3235464539401294,0.09523809523809525,0.08020729998715018,0.087035219461169,0.17941176470588235,0.1513359790653349,0.16408990968857678
D1028,0.24852941176470586,0.2073393068176035,0.22606616214906824,0.023809523809523808,0.019680644535041737,0.021548968323161874,0.14558823529411766,0.12149528652179896,0.13245091277308968
D1029,0.2323369565217391,0.21570912257686023,0.22365720447907458,0.03846153846153846,0.035591324597847834,0.03696230909699046,0.1236413043478261,0.11490280741851779,0.11908122425323311
D1030,0.1527777777777778,0.10905857058362861,0.1272507870095894,0.01584507042253521,0.011153846153846153,0.013091060985797827,0.07465277777777776,0.053307721276387596,0.06219190572330226
D1031,0.2576219512195122,0.216735584994152,0.23529417575485392,0.027777777777777776,0.022919732690446604,0.02510534523615919,0.14176829268292684,0.11873170446247203,0.12916666849831118
D1032,0.2514204545454546,0.2168615599170186,0.23279043271271674,0.02586206896551724,0.022129443697303536,0.023844333054859373,0.13210227272727273,0.1141471396474503,0.12242821691038314
D1033,0.33529411764705874,0.27900486957147297,0.30451882148447873,0.06547619047619047,0.05436737676073637,0.059397696309327966,0.1647058823529412,0.13716618565640482,0.14965531425669196
D1034,0.22916666666666663,0.19430495378755142,0.21022275386349473,0.022590361445783132,0.01890152494062323,0.02057471126817555,0.12351190476190474,0.10484904287629497,0.11337173830119837
D1035,0.2712765957446809,0.2467487800696251,0.25836239412050005,0.05645161290322581,0.051463391558297975,0.05382850852432132,0.14893617021276595,0.1355098959243482,0.14186990642488295
D1036,0.2220394736842105,0.16922077518967893,0.19199920690019687,0.006666666666666667,0.005200798305637015,0.005841543513957308,0.12006578947368421,0.09147867808393326,0.10380437507615774
D1037,0.20352564102564105,0.1575188433584895,0.1775644517708134,0.003246753246753247,0.0024509803921568627,0.002793296089385475,0.1185897435897436,0.0917407519395026,0.10343528267609015
D1038,0.24851190476190477,0.2059659183140636,0.2251906751717243,0.03765060240963855,0.030885217590759722,0.033925796644626215,0.13839285714285712,0.11457234993808511,0.12532552314199147
D1039,0.25914634146341464,0.21267800832665465,0.23359574399561417,0.044753086419753084,0.03660965980368691,0.040268638651505685,0.15091463414634146,0.12378534352064997,0.13599384139077653
D1040,0.2727272727272727,0.24392089749800647,0.2572668349757467,0.05747126436781609,0.05137087814685966,0.054200429123683155,0.14914772727272727,0.13404604164404949,0.14104092789560227
D1041,0.23259493670886078,0.1806789570359751,0.2033655993621427,0.020833333333333332,0.016215563303903203,0.01823585144935725,0.1329113924050633,0.1031329428191688,0.11613736588487883
D1042,0.32831325301204817,0.27158957807781164,0.29714194926313375,0.048780487804878044,0.04046002586162783,0.04421373448872413,0.17018072289156624,0.14111144618973312,0.15422167569809944
D1043,0.31960227272727276,0.27893798066478326,0.2978236751899156,0.04454022988505746,0.038597021452235175,0.04135038162111477,0.17187500000000003,0.14993007206449754,0.16011932453560507
D1044,0.3,0.16820000869541377,0.2154722529404193,0.03009259259259259,0.0171367050608122,0.021823954877905515,0.1590909090909091,0.08894652553115846,0.11406507388574452
D1045,0.38980263157894735,0.2954610050927188,0.33605693259184927,0.09166666666666667,0.06918667975506387,0.07883872782082993,0.1924342105263158,0.14602312151367786,0.1660045011190309
D1046,0.2957317073170731,0.2391466352344441,0.2643963949554369,0.037037037037037035,0.029961377615707108,0.03311910461468365,0.16310975609756098,0.13179043970977575,0.14576076843564784
