topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001,0.18617021276595747,0.17523615780695717,0.1805219611993889,0.03091397849462366,0.029167211565410033,0.030012207431506295,0.12367021276595745,0.11636552258166995,0.11989621057594059
D1002,0.2995049504950495,0.3134224203040713,0.3061660371101354,0.07250000000000001,0.07637738413970047,0.07435628936833052,0.17202970297029702,0.18051272003993984,0.17608396675382257
D1003,0.24029126213592228,0.25468044185439004,0.24709788817725667,0.028186274509803922,0.029913758855416545,0.02899912030450974,0.15169902912621358,0.16070565154730915,0.15596191175266058
D1004,0.26304347826086955,0.29987550314135547,0.2801465209315992,0.05701754385964912,0.06534022817603401,0.06087477035715727,0.15,0.17100546654384174,0.15975621244147187
D1005,0.22521551724137928,0.25431447509400257,0.23880966019064123,0.04456521739130435,0.05047383305518326,0.047321787661638366,0.1271551724137931,0.14371042110156515,0.13488555068731833
D1006,0.2407894736842105,0.22669435230726523,0.23348205249006826,0.023936170212765957,0.022546421031985675,0.023218240711821984,0.125,0.11794499996144474,0.12134746612825122
D1007,0.3447368421052632,0.3338128855260079,0.33915903046207496,0.09840425531914893,0.09533652449618267,0.09683880668741995,0.18684210526315792,0.18076674205330803,0.18373904088636678
D1008,0.2603211009174312,0.27587503994542106,0.2678094531038343,0.05439814814814815,0.057408844925601825,0.05585073891173341,0.15252293577981652,0.16147998199057687,0.15683616229768202
D1009,0.23648648648648646,0.27057657959616244,0.2521100153703101,0.04318181818181819,0.049410873884926106,0.04603838452052443,0.13963963963963963,0.15950236365283665,0.1487529723161665
D1010,0.2543478260869565,0.30114748341002173,0.2755360583553311,0.03618421052631579,0.043519038567397444,0.03947274543531114,0.13043478260869565,0.15447443866169613,0.1413244883844417
D1011,0.15073529411764705,0.15227856215887284,0.15146867810240483,0.0049504950495049506,0.004988116458704694,0.004969089282650786,0.09436274509803921,0.0953032126569944,0.09481061137163789
D1012,0.2846534653465347,0.28843027252639375,0.28648819238323797,0.05500000000000001,0.055896855999691394,0.05543650855630676,0.16089108910891087,0.162949037675203,0.1618890622343207
D1013,0.22029702970297027,0.2245873266255434,0.2223789383880759,0.031249999999999997,0.031888416438011886,0.03155935804185067,0.13985148514851486,0.1423281160757685,0.14105173655285091
D1014,0.23231132075471697,0.25214365257387417,0.24155207150853325,0.034523809523809526,0.03691248428084348,0.03566119625680751,0.13679245283018868,0.14860708602693518,0.14230232779552876
D1015,0.1993801652892562,0.24759970114658525,0.22072569219924099,0.02395833333333333,0.029689587230789752,0.026500316472293742,0.121900826446281,0.15163149035491785,0.13504771850361277
D1016,0.24097938144329895,0.23252200015649716,0.23654936200142254,0.033854166666666664,0.03268462309864446,0.0332378003897138,0.13402061855670103,0.12949531551220367,0.1316489030021936
D1017,0.1898584905660377,0.2028903889429864,0.19611072801249566,0.016666666666666666,0.01763182897237092,0.01713420438030765,0.12735849056603774,0.1360365563010905,0.13152232501753505
D1018,0.1736111111111111,0.18538695531614457,0.1792736686654208,0.015186915887850467,0.016329664216421638,0.01573652193116429,0.10532407407407407,0.11258975826395574,0.1088146417652496
D1019,0.22417355371900827,0.27365450397513613,0.24641315527549942,0.04895833333333333,0.060050532291606215,0.05392905092114274,0.1322314049586777,0.16152069210486614,0.14539159359674744
D1020,0.2269417475728155,0.2338163139486475,0.23025935502984402,0.025735294117647058,0.026329628831581048,0.026018601295374717,0.1274271844660194,0.13128313796849095,0.12928762390700566
D1021,0.24886363636363634,0.26719776353039315,0.2576908271771143,0.04128440366972477,0.04441671318924274,0.042791203754076315,0.13522727272727275,0.14534920403805085,0.14009830975203127
D1022,0.2427184466019417,0.24807139851041315,0.2452414509471081,0.02941176470588235,0.03020876600287108,0.029787410987919018,0.1395631067961165,0.14278273506615274,0.1410806130303531
D1023,0.1811926605504587,0.21771590057384269,0.19668967862985287,0.010416666666666666,0.01190259554305946,0.011080266425573953,0.1077981651376147,0.12987554633293913,0.11715528110801879
