topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001,0.14805825242718443,0.30554192459687146,0.19944704309242667,0.009146341463414635,0.0190375330497604,0.01235506366070805,0.07584951456310678,0.15647697398416313,0.10216514301741175
D1002,0.17202970297029702,0.3607387706456001,0.23286175898909814,0.01741293532338308,0.03666754330347835,0.023600269718649147,0.07858910891089109,0.16508350354300488,0.10643887687853963
D1003,0.22152777777777774,0.4088297242321066,0.28717438828772934,0.03701117318435754,0.06946859603421582,0.04826104524979356,0.11597222222222223,0.2141210908447616,0.15036498235045145
D1004,0.20854591836734693,0.4058976259968852,0.27542348726549204,0.04230769230769231,0.08334991163768281,0.056102320884716866,0.10204081632653061,0.19929089822091298,0.13491756907126273
D1005,0.1461864406779661,0.2514299140251476,0.18483266363045042,0.012784090909090908,0.022082403700100433,0.016189362482451806,0.07980225988700565,0.13750446606314704,0.10096566739615816
D1006,0.16847826086956522,0.34545643530249864,0.22645647993735799,0.027912621359223296,0.05756265436345893,0.0375897056608958,0.08454106280193238,0.17330413847684195,0.11362486890570062
D1007,0.25859788359788355,0.49805106306838337,0.3404088722831534,0.056515957446808505,0.10976879141386738,0.07461021384592098,0.125,0.2408554096717793,0.16457101195794716
D1008,0.16194581280788178,0.3195751857355497,0.21491398202521284,0.0049504950495049506,0.009716721747134983,0.0065579812304087624,0.07389162561576354,0.1459883287017771,0.09809833685581365
D1009,0.18685567010309279,0.37433973291822964,0.2490307897901842,0.03626943005181347,0.07393363874691163,0.0486100031089311,0.09471649484536082,0.18995028154423388,0.12627510401248476
D1010,0.2069174757281553,0.4370601195164757,0.2806730575848572,0.02865853658536585,0.061041380919690386,0.038977202024876444,0.09223300970873785,0.19534091270824647,0.12521502384449285
D1011,0.13040865384615385,0.2683405358386895,0.17548002190166323,0.004830917874396135,0.009772658988587934,0.006464983154490035,0.06129807692307693,0.12616102647837582,0.08249063353895182
D1012,0.20123626373626372,0.36733939137209526,0.25999081035191585,0.0324585635359116,0.059728920697836835,0.04205398646866534,0.09409340659340659,0.17190282497191622,0.12160131550951227
D1013,0.14593908629441626,0.2891005254694374,0.1939332199769369,0.007653061224489795,0.015332690463895213,0.010207970734498598,0.07423857868020303,0.14718534143725234,0.09868015560430973
D1014,0.22529069767441856,0.3987936436675239,0.28760091138236166,0.02266081871345029,0.04013098649096493,0.028935887656083743,0.10683139534883719,0.1891310397501463,0.13638086535918637
D1015,0.16887019230769235,0.36007005847643586,0.22976390980361655,0.021739130434782608,0.046764507382626705,0.02966033398864058,0.09194711538461536,0.19593993222851694,0.12508081584733635
D1016,0.206140350877193,0.35182803142570973,0.2598448885579019,0.03897058823529412,0.06642053275586772,0.04909576982387594,0.1111111111111111,0.18927762304751913,0.1399583181609151
D1017,0.11877828054298642,0.2650137964164063,0.16399996165499667,0.005681818181818182,0.01269522561815795,0.007849577690887873,0.0667420814479638,0.14906757000028648,0.09218171889785447
D1018,0.16732804232804233,0.31319886219463045,0.2180853094484482,0.013962765957446808,0.026199186491300364,0.01821509805941053,0.07473544973544974,0.13990772917398164,0.0974109135832231
D1019,0.14917452830188682,0.3193413424312134,0.20332187522791015,0.023696682464454978,0.0512008378749778,0.03239361687640115,0.08844339622641509,0.18910294125963473,0.12050005415673123
D1020,0.16153846153846152,0.31567295026394215,0.213655515625628,0.013530927835051547,0.026446922471478212,0.017897421909608965,0.0846153846153846,0.1655084240344033,0.11194960847457225
D1021,0.2175925925925926,0.40146556147211354,0.28220840958351795,0.032579787234042555,0.06035067084938517,0.04231387423313499,0.09986772486772486,0.18416836936602515,0.12950164120663438
D1022,0.17487046632124353,0.33616909457979416,0.22995889363733063,0.01953125,0.03761298845008329,0.02569773991516876,0.08743523316062175,0.1681380764801342,0.11499136772420782
D1023,0.17307692307692307,0.34717972206082787,0.22988619913370467,0.017265193370165743,0.03577378215048702,0.023160148666164747,0.08310439560439561,0.1668455839153946,0.11040868720471321
D1024,0.17553191489361702,0.31904783157443467,0.22638803743541897,0.02339572192513369,0.043039429931732875,0.03030333992811046,0.10039893617021275,0.18266195778456348,0.12953175049393567
D1025,0.18024861878453038,0.32384715972982464,0.23157800882030088,0.017361111111111112,0.03139703052213633,0.022357364156120916,0.08977900552486187,0.16114878855024664,0.11530619232352171
D1026,0.12563775510204084,0.2724005076907605,0.17091930804839187,0.001282051282051282,0.003360215053763441,0.0018408182014699524,0.05994897959183674,0.13182308933235926,0.08185216262421685
D1027,0.19329268292682925,0.390621720646843,0.25849047133219566,0.03431372549019607,0.06976684751968483,0.04597568051129266,0.08109756097560974,0.1636551172718511,0.10840159802974117
D1028,0.216025641025641,0.4144077335346327,0.2839951132117836,0.03092783505154639,0.05942539106851863,0.04068141442365673,0.10192307692307694,0.19553030517215056,0.13399372805086035
D1029,0.1878306878306878,0.3578287340162913,0.24629412578025772,0.026595744680851064,0.050574717197991025,0.0348548546584771,0.08664021164021163,0.16496439251034994,0.11358658193743897
D1030,0.13992537313432835,0.2797436256653206,0.18652357363941527,0.00375,0.007476490596238495,0.004994555313569492,0.07587064676616916,0.1515429984399272,0.10110589544758428
D1031,0.16644736842105262,0.32432093348189767,0.21988250659158212,0.013227513227513227,0.02583110713722308,0.017485019843579228,0.08750000000000001,0.17041630379418424,0.11557391089274048
D1032,0.19082125603864736,0.38877680941898446,0.25591351117280325,0.02851941747572815,0.05828174031122,0.038286837131216375,0.09178743961352658,0.18679910835463867,0.12305478221754264
D1033,0.15982587064676615,0.3140489983464365,0.21180960481638123,0.018125000000000002,0.0356069799645462,0.024019097101306668,0.08395522388059701,0.16492159308972967,0.1112508862761355
D1034,0.1691542288557214,0.344833763317304,0.22688439364381402,0.01875,0.0381748428533247,0.02513848694638511,0.08519900497512438,0.1733017699895525,0.11419449224545253
D1035,0.18658536585365854,0.37065017947453954,0.24815545309174653,0.02512254901960784,0.050371697871477446,0.03351680681898287,0.08780487804878048,0.1742326023953127,0.11673699930069906
D1036,0.1547619047619048,0.3253865660410861,0.20969049395822373,0.011961722488038277,0.02554987210332477,0.016289196762503053,0.07857142857142857,0.16543871503986804,0.10650718894383568
D1037,0.15508021390374332,0.28806570377353324,0.20158892089656155,0.009408602150537633,0.017435511237445845,0.01222032172846392,0.07419786096256685,0.13791935652407045,0.09647334027563811
D1038,0.138681592039801,0.27538413208457796,0.1844261097599371,0.005625000000000001,0.011164853497701785,0.007478896950234893,0.07276119402985073,0.14440244131125907,0.09674423963296216
D1039,0.19834183673469388,0.38886907149846206,0.2626685518165906,0.02948717948717949,0.05809553836215281,0.039114836968530575,0.09948979591836735,0.19492795974361504,0.1317265948854656
D1040,0.15924657534246575,0.3554717294871233,0.2197560444837717,0.016628440366972478,0.03691410190157117,0.02291216149448888,0.07876712328767123,0.17576818713825218,0.10869033211062777
D1041,0.16911764705882354,0.3390697101384347,0.22566413527133344,0.012931034482758619,0.026081587527684805,0.01728909140990986,0.08700980392156864,0.1743461221122112,0.11607997654967026
D1042,0.19786729857819907,0.41652083872423945,0.2681871908065548,0.025595238095238095,0.054699954120713865,0.034862647329431146,0.08886255924170616,0.18694978475936183,0.12041960592686815
D1043,0.2229899497487437,0.4397659258078293,0.29587303283331706,0.04987373737373738,0.09894269789418313,0.0663063683156673,0.09170854271356785,0.18087321572435092,0.12168563449603596
D1044,0.15297619047619046,0.32587094745614953,0.20815296777367645,0.019138755980861243,0.040738056586270874,0.026037155686528826,0.07797619047619048,0.16595223332712053,0.1060722142780785
D1045,0.21375739644970418,0.3610099178185909,0.26845316982229855,0.02976190476190476,0.05114840710281907,0.037615558645192726,0.10650887573964497,0.1801219934209726,0.1338279746401147
D1046,0.21505376344086025,0.3937573068069573,0.2781338969945546,0.04054054054054054,0.0747536980625374,0.05256239302699873,0.10954301075268819,0.20048104333127006,0.14165285990564136
