,KL_divergence_scores,L1,L2,L_inf
0,tensor(-5.4182),tensor(0.4412),tensor(0.0730),tensor(0.0278)
1,tensor(-6.3855),tensor(0.4542),tensor(0.0749),tensor(0.0199)
2,tensor(0.),tensor(0.4789),tensor(0.0841),tensor(0.0278)
3,tensor(-3.8206),tensor(0.4019),tensor(0.0719),tensor(0.0275)
4,tensor(-5.7835),tensor(0.3981),tensor(0.0733),tensor(0.0271)
5,tensor(-6.0048),tensor(0.4692),tensor(0.0823),tensor(0.0342)
6,tensor(-3.5434),tensor(0.3980),tensor(0.0658),tensor(0.0275)
7,tensor(-8.5071e+37),tensor(0.4671),tensor(0.0783),tensor(0.0273)
8,tensor(-4.8587),tensor(0.3340),tensor(0.0665),tensor(0.0278)
9,tensor(-7.4776),tensor(0.3953),tensor(0.0682),tensor(0.0184)
10,tensor(-5.7892),tensor(0.4391),tensor(0.0788),tensor(0.0277)
11,tensor(-4.5507),tensor(0.4687),tensor(0.0926),tensor(0.0459)
12,tensor(-6.1348),tensor(0.4875),tensor(0.0793),tensor(0.0278)
13,tensor(-1.7194),tensor(0.1989),tensor(0.0438),tensor(0.0142)
14,tensor(-3.5675),tensor(0.3908),tensor(0.0702),tensor(0.0278)
15,tensor(-5.8227),tensor(0.4120),tensor(0.0801),tensor(0.0417)
16,tensor(-5.3964),tensor(0.4159),tensor(0.0719),tensor(0.0139)
17,tensor(-5.8475),tensor(0.4164),tensor(0.0726),tensor(0.0276)
18,tensor(-6.1797),tensor(0.4490),tensor(0.0859),tensor(0.0449)
19,tensor(-4.2581),tensor(0.3888),tensor(0.0691),tensor(0.0273)
20,tensor(-4.0021),tensor(0.4155),tensor(0.0825),tensor(0.0405)
21,tensor(-5.2575),tensor(0.3889),tensor(0.0730),tensor(0.0278)
22,tensor(-3.1030),tensor(0.3517),tensor(0.0602),tensor(0.0140)
23,tensor(-5.2018),tensor(0.4464),tensor(0.0919),tensor(0.0551)
24,tensor(-4.7551),tensor(0.4692),tensor(0.0887),tensor(0.0417)
25,tensor(-4.9952),tensor(0.4337),tensor(0.0787),tensor(0.0424)
26,tensor(-3.9451),tensor(0.3881),tensor(0.0729),tensor(0.0258)
27,tensor(-7.1519),tensor(0.4431),tensor(0.0721),tensor(0.0165)
28,tensor(-4.0520),tensor(0.3884),tensor(0.0761),tensor(0.0278)
29,tensor(-4.4961),tensor(0.4671),tensor(0.0780),tensor(0.0278)
30,tensor(-7.2105),tensor(0.4443),tensor(0.0834),tensor(0.0278)
31,tensor(-9.0731),tensor(0.4999),tensor(0.0954),tensor(0.0555)
32,tensor(-6.7677),tensor(0.4355),tensor(0.0770),tensor(0.0278)
33,tensor(-5.3357),tensor(0.3631),tensor(0.0717),tensor(0.0278)
34,tensor(-6.0683),tensor(0.4313),tensor(0.0771),tensor(0.0278)
35,tensor(-6.8060),tensor(0.3613),tensor(0.0665),tensor(0.0205)
36,tensor(-6.8365),tensor(0.4441),tensor(0.0808),tensor(0.0278)
37,tensor(-6.0831),tensor(0.4394),tensor(0.0752),tensor(0.0278)
38,tensor(-3.5034),tensor(0.3384),tensor(0.0655),tensor(0.0246)
39,tensor(-7.0802),tensor(0.4708),tensor(0.0928),tensor(0.0533)
40,tensor(-4.6991),tensor(0.4398),tensor(0.0785),tensor(0.0405)
41,tensor(-8.4708),tensor(0.4444),tensor(0.0791),tensor(0.0276)
42,tensor(-6.1877),tensor(0.4679),tensor(0.0760),tensor(0.0255)
43,tensor(-5.4233),tensor(0.4451),tensor(0.0843),tensor(0.0281)
44,tensor(-2.9038),tensor(0.4086),tensor(0.0654),tensor(0.0216)
45,tensor(-5.4574),tensor(0.4444),tensor(0.0772),tensor(0.0352)
