,KL_divergence_scores,L1,L2,L_inf
0,tensor(-2.8845),tensor(0.3715),tensor(0.0677),tensor(0.0258)
1,tensor(-5.2671),tensor(0.4535),tensor(0.0755),tensor(0.0289)
2,tensor(-5.9199),tensor(0.4715),tensor(0.0879),tensor(0.0413)
3,tensor(-4.1131),tensor(0.4403),tensor(0.0836),tensor(0.0494)
4,tensor(-3.1333),tensor(0.4647),tensor(0.0894),tensor(0.0447)
5,tensor(-5.3347),tensor(0.4718),tensor(0.0788),tensor(0.0278)
6,tensor(-4.8978),tensor(0.4123),tensor(0.0768),tensor(0.0347)
7,tensor(-7.5479),tensor(0.3895),tensor(0.0885),tensor(0.0555)
8,tensor(-4.1138),tensor(0.3799),tensor(0.0658),tensor(0.0204)
9,tensor(-5.6696),tensor(0.4999),tensor(0.0858),tensor(0.0285)
10,tensor(-6.2013),tensor(0.4192),tensor(0.0723),tensor(0.0341)
11,tensor(-5.1678),tensor(0.3991),tensor(0.0707),tensor(0.0197)
12,tensor(-6.6003),tensor(0.4983),tensor(0.0864),tensor(0.0410)
13,tensor(-4.0821),tensor(0.4249),tensor(0.0750),tensor(0.0277)
14,tensor(-1.6470),tensor(0.2755),tensor(0.0624),tensor(0.0272)
15,tensor(-7.4821),tensor(0.4447),tensor(0.0781),tensor(0.0278)
16,tensor(-4.8492),tensor(0.4317),tensor(0.0757),tensor(0.0284)
17,tensor(-5.9182),tensor(0.4613),tensor(0.0743),tensor(0.0223)
18,tensor(-5.2357),tensor(0.4503),tensor(0.0765),tensor(0.0249)
19,tensor(-5.9008),tensor(0.4977),tensor(0.0834),tensor(0.0280)
20,tensor(-2.4534),tensor(0.3466),tensor(0.0624),tensor(0.0140)
21,tensor(-2.3684),tensor(0.2919),tensor(0.0616),tensor(0.0277)
22,tensor(-6.5657),tensor(0.4634),tensor(0.0778),tensor(0.0278)
23,tensor(-7.1928),tensor(0.4353),tensor(0.0689),tensor(0.0224)
24,tensor(-2.4730),tensor(0.3809),tensor(0.0761),tensor(0.0278)
25,tensor(-3.5709),tensor(0.4042),tensor(0.0767),tensor(0.0429)
26,tensor(-4.6151),tensor(0.4306),tensor(0.0699),tensor(0.0139)
27,tensor(0.),tensor(0.4697),tensor(0.0777),tensor(0.0203)
28,tensor(-5.0276),tensor(0.3732),tensor(0.0663),tensor(0.0186)
29,tensor(-4.4724),tensor(0.3363),tensor(0.0616),tensor(0.0278)
30,tensor(-4.4278),tensor(0.3193),tensor(0.0714),tensor(0.0332)
31,tensor(-5.1639),tensor(0.4164),tensor(0.0768),tensor(0.0276)
32,tensor(-3.2040),tensor(0.3559),tensor(0.0670),tensor(0.0278)
33,tensor(-6.3181),tensor(0.4145),tensor(0.0737),tensor(0.0275)
34,tensor(-4.2266),tensor(0.3999),tensor(0.0676),tensor(0.0220)
35,tensor(-5.3563),tensor(0.3609),tensor(0.0677),tensor(0.0276)
36,tensor(-3.3291),tensor(0.3682),tensor(0.0652),tensor(0.0139)
37,tensor(-5.6442),tensor(0.4087),tensor(0.0801),tensor(0.0449)
38,tensor(-3.6458),tensor(0.4478),tensor(0.0784),tensor(0.0277)
39,tensor(-7.8342),tensor(0.4996),tensor(0.0791),tensor(0.0142)
40,tensor(-5.1448),tensor(0.4718),tensor(0.0873),tensor(0.0395)
41,tensor(-5.6621),tensor(0.4414),tensor(0.0715),tensor(0.0159)
42,tensor(-3.5019),tensor(0.2978),tensor(0.0598),tensor(0.0139)
43,tensor(-4.6739),tensor(0.3915),tensor(0.0714),tensor(0.0278)
44,tensor(-5.7495),tensor(0.4435),tensor(0.0790),tensor(0.0412)
45,tensor(-3.4699),tensor(0.4174),tensor(0.0759),tensor(0.0407)
