,KL_divergence_scores,L1,L2,L_inf
0,tensor(-4.4375),tensor(0.4405),tensor(0.0803),tensor(0.0278)
1,tensor(-2.7123),tensor(0.3417),tensor(0.0590),tensor(0.0153)
2,tensor(-5.7020),tensor(0.4714),tensor(0.0813),tensor(0.0272)
3,tensor(-4.7040),tensor(0.4029),tensor(0.0833),tensor(0.0456)
4,tensor(-2.9330),tensor(0.3298),tensor(0.0681),tensor(0.0278)
5,tensor(-7.5646),tensor(0.4721),tensor(0.0821),tensor(0.0286)
6,tensor(-4.8707),tensor(0.3732),tensor(0.0647),tensor(0.0139)
7,tensor(-7.3891),tensor(0.4720),tensor(0.0739),tensor(0.0177)
8,tensor(-5.1496),tensor(0.4700),tensor(0.0855),tensor(0.0332)
9,tensor(-6.3936),tensor(0.4160),tensor(0.0732),tensor(0.0231)
10,tensor(-7.9610),tensor(0.4701),tensor(0.0906),tensor(0.0555)
11,tensor(-5.7880),tensor(0.4446),tensor(0.0758),tensor(0.0251)
12,tensor(-6.8582),tensor(0.4721),tensor(0.0762),tensor(0.0183)
13,tensor(-9.6984),tensor(0.5000),tensor(0.0802),tensor(0.0276)
14,tensor(-4.3720),tensor(0.3910),tensor(0.0670),tensor(0.0146)
15,tensor(-7.0859),tensor(0.4164),tensor(0.0704),tensor(0.0278)
16,tensor(-5.8381),tensor(0.4683),tensor(0.0846),tensor(0.0394)
17,tensor(-6.8969),tensor(0.4437),tensor(0.0714),tensor(0.0187)
18,tensor(-6.7513),tensor(0.4958),tensor(0.0834),tensor(0.0415)
19,tensor(-5.6670),tensor(0.4712),tensor(0.0872),tensor(0.0417)
20,tensor(-5.5495),tensor(0.4829),tensor(0.0845),tensor(0.0278)
21,tensor(-3.3408),tensor(0.4025),tensor(0.0705),tensor(0.0292)
22,tensor(-4.2551),tensor(0.4342),tensor(0.0734),tensor(0.0284)
23,tensor(-5.9576),tensor(0.3335),tensor(0.0673),tensor(0.0277)
24,tensor(-6.1031),tensor(0.4715),tensor(0.0928),tensor(0.0496)
25,tensor(-7.5698),tensor(0.4857),tensor(0.0771),tensor(0.0278)
26,tensor(-6.8368),tensor(0.4020),tensor(0.0651),tensor(0.0205)
27,tensor(-3.9283),tensor(0.4426),tensor(0.0830),tensor(0.0278)
28,tensor(0.),tensor(0.5000),tensor(0.0865),tensor(0.0417)
29,tensor(-5.6433),tensor(0.4722),tensor(0.0911),tensor(0.0556)
30,tensor(-4.6986),tensor(0.3747),tensor(0.0669),tensor(0.0277)
31,tensor(-6.7572),tensor(0.4990),tensor(0.0821),tensor(0.0278)
32,tensor(-6.7749),tensor(0.4732),tensor(0.0790),tensor(0.0277)
33,tensor(-8.4503),tensor(0.4166),tensor(0.0734),tensor(0.0245)
34,tensor(-4.8433),tensor(0.3933),tensor(0.0713),tensor(0.0251)
35,tensor(-3.4107),tensor(0.4201),tensor(0.0690),tensor(0.0278)
36,tensor(-8.4573),tensor(0.4136),tensor(0.0740),tensor(0.0405)
37,tensor(-7.2065),tensor(0.4444),tensor(0.0857),tensor(0.0278)
38,tensor(-7.7504),tensor(0.4441),tensor(0.0797),tensor(0.0276)
39,tensor(-4.5477),tensor(0.4438),tensor(0.0728),tensor(0.0159)
40,tensor(-7.1973),tensor(0.4987),tensor(0.0798),tensor(0.0278)
41,tensor(-7.8119),tensor(0.4167),tensor(0.0736),tensor(0.0278)
42,tensor(-8.5071e+37),tensor(0.4423),tensor(0.0817),tensor(0.0399)
43,tensor(-4.9330),tensor(0.3919),tensor(0.0690),tensor(0.0139)
44,tensor(-6.6985),tensor(0.4980),tensor(0.0899),tensor(0.0450)
45,tensor(-8.5071e+37),tensor(0.4084),tensor(0.0744),tensor(0.0278)
