topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001,0.2178030303030303,0.4315439990690245,0.2894759567994175,0.031725888324873094,0.06317279069475154,0.0422366185578445,0.0928030303030303,0.18397221064018163,0.12336320215264733
D1002,0.19986263736263735,0.3769096592445531,0.2610963921415649,0.04419889502762431,0.08445602075732941,0.05800169241597185,0.11195054945054944,0.2111903539220859,0.14626766643711117
D1003,0.22892441860465113,0.404101426870898,0.29209308858198335,0.0402046783625731,0.07211777970892383,0.05158204078793944,0.12427325581395349,0.21946253633795254,0.15858419461586828
D1004,0.23427152317880795,0.3507614884481314,0.2808209614599367,0.052500000000000005,0.07931228886280028,0.06315786843198096,0.12168874172185432,0.18246780131646947,0.14594627649996378
D1005,0.2887323943661972,0.39977204051036835,0.335193898637143,0.06382978723404256,0.08915027870435861,0.07436626112313956,0.12852112676056338,0.17825725420466668,0.1493099539498124
D1006,0.2356060606060606,0.38466823312228776,0.29216721059706924,0.021341463414634148,0.03485857334443927,0.026468626143402917,0.10303030303030303,0.16849150887186132,0.127845323523464
D1007,0.27891156462585037,0.41813543634765327,0.3345918143573556,0.052226027397260275,0.07853847841546228,0.06273053440373773,0.14115646258503403,0.2117656585574926,0.16938425983219518
D1008,0.2462406015037594,0.3193090332551516,0.27798899210474626,0.052083333333333336,0.06817224291304819,0.059037594292533864,0.13157894736842105,0.17030222533671865,0.14841952030671604
D1009,0.2844488188976378,0.3732634173439203,0.32249623017008,0.06845238095238095,0.09196107538250403,0.07838376806543076,0.15255905511811024,0.19988816475288598,0.17285722139486315
D1010,0.2217261904761905,0.3840240176014784,0.2809186353072169,0.0344311377245509,0.06065461284435517,0.04388161792450469,0.1063988095238095,0.18462430625956788,0.13488532383972682
D1011,0.223,0.2755014446352411,0.24642869770663084,0.02721774193548387,0.03347689359495577,0.03001914263465332,0.116,0.14331263239369002,0.12818681790473185
D1012,0.22280092592592593,0.4817355172351194,0.30465010465805775,0.061046511627906974,0.13248663607120173,0.08357055648646933,0.11284722222222224,0.24441217820749012,0.15438593421877012
D1013,0.25614754098360654,0.31362206444589297,0.2819367039650308,0.040289256198347105,0.049354690353820826,0.044355589015960636,0.1444672131147541,0.17699015448414906,0.159055288835784
D1014,0.2764227642276423,0.34858269792616803,0.3080091982242348,0.04098360655737705,0.051371417188786746,0.04556612588557443,0.1524390243902439,0.19324808677885055,0.17021728994995294
D1015,0.20112179487179488,0.32336674108587327,0.2478084729221788,0.04112903225806452,0.06725928148425309,0.05099907113677646,0.10817307692307694,0.1740652815281528,0.13332400106158182
D1016,0.25723684210526315,0.48614782858978195,0.3362906392572368,0.06415343915343916,0.12021942505193003,0.08361361619661925,0.1355263157894737,0.2547971126260969,0.17684976377133488
D1017,0.20994475138121546,0.3839720254394366,0.27139617740368843,0.03125,0.05734380765805243,0.04044389691817426,0.10013812154696132,0.18328668136954357,0.1294840913225682
D1018,0.22077114427860695,0.44008383191897965,0.29398002244048727,0.049375,0.09903077436950075,0.06588015050469699,0.11691542288557213,0.23344580937550263,0.1557728200711801
D1019,0.22823033707865167,0.40965065966101366,0.2930958053362734,0.04590395480225989,0.08305261150423505,0.05911883981836063,0.12148876404494383,0.21840588377062373,0.1561051841007852
D1020,0.2264705882352941,0.3850693703865479,0.28512123463179,0.040680473372781065,0.06893296332922758,0.05115140266614979,0.11397058823529412,0.19405338880786208,0.1435624046792292
D1021,0.2909356725146199,0.4855782897698302,0.3638437739796435,0.07794117647058824,0.13032023399315287,0.09753815948095043,0.1425438596491228,0.23782754628888875,0.17824215905577798
D1022,0.29801324503311255,0.44782184947460196,0.35768874580215465,0.06333333333333334,0.09734375144893927,0.07669489769178806,0.15562913907284767,0.23448788419036576,0.1869903960682818
D1023,0.22279411764705884,0.41228784833333765,0.28799148893781223,0.03032544378698225,0.05560564671449444,0.039089787043215335,0.10588235294117647,0.19632307950532263,0.13694955852565177
D1024,0.2473776223776224,0.341325857663648,0.2867482288701852,0.016725352112676055,0.023222184835845816,0.01943861824263195,0.12062937062937064,0.16644559705191703,0.13982882506014419
D1025,0.24801587301587302,0.46430640112446003,0.32330222072096265,0.056515957446808505,0.10604224384826061,0.07372995174423651,0.12169312169312169,0.2278884085483532,0.15865017368321774
D1026,0.184375,0.32184227664189813,0.23307875010464194,0.015723270440251572,0.026872726264977675,0.019735568947104938,0.0921875,0.1629740527256198,0.11700108932381523
D1027,0.270579268292683,0.4383254412252234,0.33444495009631015,0.05674846625766871,0.09249729337787846,0.07031462796758849,0.12576219512195122,0.20402079884332322,0.15552810105251094
