,KL_divergence_scores,L1,L2,L_inf
0,tensor(-25.6485),tensor(1.8885),tensor(0.3284),tensor(0.1101)
1,tensor(-20.0203),tensor(1.6522),tensor(0.4017),tensor(0.2922)
2,tensor(-19.9508),tensor(1.8195),tensor(0.2982),tensor(0.1023)
3,tensor(-14.2796),tensor(1.4442),tensor(0.2541),tensor(0.1021)
4,tensor(-15.3067),tensor(1.5630),tensor(0.2738),tensor(0.0559)
5,tensor(-25.2182),tensor(1.7930),tensor(0.3411),tensor(0.1367)
6,tensor(-4.3094),tensor(1.0638),tensor(0.1838),tensor(0.0702)
7,tensor(0.),tensor(1.9016),tensor(0.3192),tensor(0.1236)
8,tensor(-18.8724),tensor(1.6886),tensor(0.2964),tensor(0.0986)
9,tensor(-19.8331),tensor(1.8886),tensor(0.3169),tensor(0.1110)
10,tensor(-22.5738),tensor(1.7445),tensor(0.2907),tensor(0.1096)
11,tensor(-9.5710),tensor(1.1728),tensor(0.2408),tensor(0.0717)
12,tensor(-27.0084),tensor(1.8261),tensor(0.3136),tensor(0.1111)
13,tensor(-22.7711),tensor(1.8886),tensor(0.3235),tensor(0.1111)
14,tensor(-22.8284),tensor(1.8578),tensor(0.2926),tensor(0.0650)
15,tensor(-26.6132),tensor(1.8147),tensor(0.3348),tensor(0.1667)
16,tensor(-28.9336),tensor(1.7771),tensor(0.3219),tensor(0.1110)
17,tensor(-33.3455),tensor(1.7861),tensor(0.3341),tensor(0.1111)
18,tensor(-21.1102),tensor(1.8611),tensor(0.3124),tensor(0.1120)
19,tensor(-11.1265),tensor(1.4808),tensor(0.2730),tensor(0.1107)
20,tensor(-20.0146),tensor(1.7532),tensor(0.3419),tensor(0.2147)
21,tensor(-18.7290),tensor(1.6487),tensor(0.2948),tensor(0.1077)
22,tensor(-24.6823),tensor(1.9153),tensor(0.3216),tensor(0.1657)
23,tensor(-18.4799),tensor(1.9974),tensor(0.3754),tensor(0.2197)
24,tensor(-36.5019),tensor(1.9844),tensor(0.3422),tensor(0.1610)
25,tensor(-20.0223),tensor(1.7733),tensor(0.3587),tensor(0.1714)
26,tensor(-21.8597),tensor(1.8358),tensor(0.2996),tensor(0.0845)
27,tensor(-21.6870),tensor(1.7442),tensor(0.3029),tensor(0.1111)
28,tensor(-23.4398),tensor(1.7764),tensor(0.3171),tensor(0.1111)
29,tensor(-20.3295),tensor(1.7376),tensor(0.2869),tensor(0.0914)
30,tensor(-29.2043),tensor(1.8165),tensor(0.3176),tensor(0.1097)
31,tensor(-19.6886),tensor(1.6571),tensor(0.2920),tensor(0.0931)
32,tensor(-18.9300),tensor(1.8947),tensor(0.3150),tensor(0.0910)
33,tensor(-28.3834),tensor(1.8891),tensor(0.3314),tensor(0.1113)
34,tensor(-30.4824),tensor(1.8884),tensor(0.3026),tensor(0.0623)
35,tensor(-23.8700),tensor(1.7702),tensor(0.2980),tensor(0.1105)
36,tensor(-24.2412),tensor(1.4683),tensor(0.2808),tensor(0.1111)
37,tensor(0.),tensor(0.),tensor(0.),tensor(0.)
38,tensor(-17.6821),tensor(1.3556),tensor(0.2764),tensor(0.0987)
39,tensor(-18.8493),tensor(1.7559),tensor(0.3279),tensor(0.1487)
40,tensor(-22.7963),tensor(1.8058),tensor(0.3100),tensor(0.1162)
41,tensor(-19.9011),tensor(1.9655),tensor(0.3390),tensor(0.1640)
42,tensor(-23.3988),tensor(1.6862),tensor(0.2827),tensor(0.0596)
43,tensor(-15.2717),tensor(1.6262),tensor(0.3189),tensor(0.1590)
44,tensor(-20.3182),tensor(1.8429),tensor(0.2950),tensor(0.1105)
45,tensor(-40.9402),tensor(1.8776),tensor(0.3443),tensor(0.1409)
