,KL_divergence_scores,L1,L2,L_inf
0,-3.7325,-0.3578,-0.069,-0.0258
1,-5.1083,-0.4176,-0.0766,-0.0341
2,-2.8648,-0.3501,-0.0689,-0.0276
3,-2.4714,-0.421,-0.0703,-0.0244
4,-3.2872,-0.4423,-0.0779,-0.0415
5,-4.1537,-0.4498,-0.0755,-0.0278
6,-2.2089,-0.3923,-0.0742,-0.0277
7,-6.8045,-0.4445,-0.089,-0.0551
8,-3.2673,-0.3761,-0.0716,-0.0278
9,-5.4252,-0.4592,-0.0863,-0.0413
10,-4.2086,-0.4963,-0.0782,-0.0278
11,-4.2445,-0.3781,-0.0655,-0.0164
12,-5.3135,-0.4717,-0.0795,-0.0278
13,-6.4249,-0.4699,-0.0837,-0.0278
14,-4.8618,-0.3926,-0.0707,-0.0259
15,-7.3841,-0.4374,-0.0809,-0.0281
16,-3.1333,-0.429,-0.0739,-0.0284
17,-3.844,-0.3862,-0.072,-0.0278
18,-5.2815,-0.4716,-0.0813,-0.0277
19,-3.4773,-0.4201,-0.0758,-0.0302
20,-5.6452,-0.4432,-0.0755,-0.024
21,-3.5087,-0.4415,-0.0836,-0.0405
22,-5.0433,-0.4349,-0.0716,-0.0204
23,-3.7991,-0.3888,-0.0683,-0.0231
24,-3.1758,-0.3928,-0.079,-0.0278
25,-5.2113,-0.4637,-0.0683,-0.0152
26,-5.4837,-0.4241,-0.0735,-0.0278
27,0,-0.4992,-0.0803,-0.0278
28,-3.8071,-0.3601,-0.0653,-0.0165
29,-4.8423,-0.4416,-0.0741,-0.0278
30,-7.5782,-0.4304,-0.0768,-0.0278
31,-4.9158,-0.4808,-0.0846,-0.0278
32,-2.7468,-0.3327,-0.0599,-0.0222
33,-4.3611,-0.4081,-0.0742,-0.0277
34,-3.2328,-0.4208,-0.0709,-0.0288
35,-2.7161,-0.3539,-0.0713,-0.0279
36,-1.8119,-0.3641,-0.0619,-0.0167
37,-2.7757,-0.3942,-0.0748,-0.0277
38,-2.9176,-0.4338,-0.0815,-0.0408
39,-3.0097,-0.4311,-0.0723,-0.0249
40,-3.8042,-0.4153,-0.0737,-0.0271
41,-6.2149,-0.4932,-0.0803,-0.0277
42,-3.2692,-0.363,-0.0717,-0.0277
43,-3.9152,-0.3983,-0.0727,-0.0264
44,-3.0855,-0.3993,-0.073,-0.0331
45,-3.3166,-0.4768,-0.0915,-0.0441
,-4.08011087,-0.4206369565,-0.07503043478,-0.02848478261
