,pearson_scores
0,0.1320140951
1,0.1349535171
2,0.1159596475
3,0.1475796897
4,0.1918645722
5,0.09052867869
6,0.1194639134
7,0.1624726906
8,0.2074429277
9,-0.001917598141
10,0.05396434266
11,0.1620780608
12,0.2383934328
13,0.2423618598
14,0.2702560636
15,0.2182358492
16,0.1764218007
17,0.1969041309
18,0.1989756835
19,0.1794076444
20,0.1757341876
21,0.08082911047
22,0.06968904634
23,0.1725001236
24,0.06882876917
25,0.1371949632
26,0.2194120205
27,0.1566333826
28,0.2135878236
29,0.1927666327
30,0.2406790412
31,0.0702416909
32,0.1678908667
33,0.1566671621
34,0.1828127266
35,0.1341284361
36,0.1724331158
37,0.1635427486
38,0.1939501993
39,0.1453112498
40,0.2170586766
41,0.2115735871
42,0.2095688819
43,0.1793884972
44,0.192967912
45,0.2117507751
,0.1646631006
