,pearson_scores
0,0.2162380009
1,0.1349146125
2,0.1704047929
3,0.1264965831
4,0.1159460381
5,0.1728289379
6,0.1608796086
7,0.1273240211
8,0.1462184734
9,0.2299549372
10,0.185532163
11,0.144119368
12,0.1555036388
13,0.2225695261
14,0.1526065772
15,0.1705347174
16,0.1922464753
17,0.2181390283
18,0.1495592284
19,0.1823941259
20,0.188343399
21,0.2326972847
22,0.2068868261
23,0.2432589104
24,0.1064818399
25,0.1823507326
26,0.1503188345
27,0.1983191597
28,0.03886111534
29,0.1200416212
30,0.194574956
31,0.1052879453
32,0.1845564691
33,-0.01198836024
34,0.0882418589
35,0.2702702713
36,0.1776439964
37,0.08091749088
38,0.2360576297
39,0.2123212317
40,0.1808338976
41,0.1614216909
42,0.215233562
43,0.1858833688
44,0.1531120213
45,0.1961584206
,0.1667934136
