topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1001,0.29850746268656714,0.20022184663319273,0.23965913930712857,0.00946969696969697,0.006367059906849977,0.007613733022036246,0.16417910447761191,0.11021454719001313,0.13187886469492305
D1002,0.33055555555555555,0.3091099541817708,0.3193194134281067,0.08286516853932584,0.07813428098997455,0.08039389305575294,0.17222222222222222,0.16150848937269616,0.16661719691652033
D1003,0.35863095238095244,0.3102154262369345,0.3324287860466746,0.0677710843373494,0.0596773822571347,0.06340503824581713,0.17261904761904762,0.14879442669664553,0.15971923506483132
D1004,0.37656249999999997,0.29864429775988227,0.3329877956064884,0.09968354430379747,0.0789688335815902,0.08809889889579761,0.20625000000000002,0.16412009098262464,0.18271888402043315
D1005,0.23593750000000002,0.1836917820671779,0.20650228191957354,0.015822784810126583,0.012195103601261784,0.013770758860326509,0.12343749999999999,0.09611824665275842,0.10804628166369194
D1006,0.3143939393939394,0.20550551948167498,0.24850147665025485,0.03461538461538462,0.02251413489899428,0.027279080345912823,0.1553030303030303,0.10136317932880634,0.12264406474083824
D1007,0.3511029411764706,0.24344594296966515,0.2875037471382043,0.029850746268656716,0.020650319321812813,0.02441098458709228,0.17095588235294118,0.11831504954487664,0.13983347622599754
D1008,0.2931034482758621,0.24838928654140752,0.26883011423896824,0.0436046511627907,0.036985213211762194,0.0400125279960603,0.16379310344827586,0.1387801013206827,0.15021324609336398
D1009,0.35190217391304346,0.33333052071823305,0.3419907971605356,0.059065934065934064,0.05629585615880329,0.05758103926161925,0.1657608695652174,0.1564053683869342,0.16078379656749303
D1010,0.2125,0.19660710947428622,0.20406897419339964,0.023876404494382022,0.022038985793272695,0.02289997670790571,0.125,0.1154395656488502,0.11992717807848717
D1011,0.28322784810126583,0.22167957664269994,0.24864125627787984,0.044871794871794865,0.03490146866912688,0.03925624603835124,0.15664556962025317,0.12247765956135806,0.13743897364177257
D1012,0.3016304347826087,0.27785398087668384,0.28921433977101,0.03708791208791209,0.03396181703195119,0.03544998987439279,0.15217391304347824,0.1402255994763231,0.14593598922967832
D1013,0.225,0.20348973478654173,0.2136623883376405,0.004213483146067416,0.003842073029874881,0.0040185711473635,0.11666666666666667,0.10557425144405243,0.11082135552672555
