topicID,ROUGE-1-avgP,ROUGE-1-avgR,ROUGE-1-avgF,ROUGE-2-avgP,ROUGE-2-avgR,ROUGE-2-avgF,ROUGE-L-avgP,ROUGE-L-avgR,ROUGE-L-avgF
D1101,0.29347826086956524,0.20063796882042992,0.23831638072468522,0.03676470588235294,0.025133018706735052,0.02985386029035572,0.15217391304347824,0.10385373113449492,0.12344260373582944
D1102,0.2427536231884058,0.16888871589918192,0.19912726823926485,0.022058823529411766,0.01530942544976416,0.018069884556041412,0.14492753623188406,0.10110793306546373,0.11907254664225936
D1103,0.32986111111111116,0.23949424268873673,0.27731028030792987,0.04753521126760563,0.03396293019471948,0.039603889795201984,0.1701388888888889,0.12381536595394338,0.14321540521081577
D1104,0.3713768115942029,0.25543156554183377,0.3025991161548619,0.0661764705882353,0.04489817827690697,0.053492461983350136,0.17572463768115942,0.12102501843595659,0.14329339019906312
D1105,0.30468750000000006,0.23806010211498516,0.2672053803880794,0.03164556962025317,0.024386673915514506,0.02753693626886063,0.15,0.11704905210261726,0.13145225256933435
D1106,0.3792134831460674,0.33928970452897433,0.35802243753903357,0.05113636363636364,0.046425962302928885,0.04864449038581178,0.17696629213483145,0.1580715226250605,0.1669334993127068
D1107,0.23546511627906974,0.10085690954427967,0.14115478136563983,0.020833333333333332,0.008720914502164502,0.01229266706356814,0.1686046511627907,0.07219662939022302,0.10105826237437476
D1108,0.3585526315789474,0.2693086194383178,0.30737621768663426,0.06999999999999999,0.0530397113563748,0.060326353303433125,0.18585526315789472,0.1402407399608225,0.15973019129975016
D1109,0.2713815789473684,0.20390261290996586,0.2328311439518336,0.03333333333333333,0.02504695249163326,0.028599432860881027,0.1529605263157895,0.11495715710526636,0.13125180654723467
D1110,0.44921875,0.1396110664715377,0.21282034522188098,0.08870967741935484,0.027040347299583073,0.04139613047694789,0.25390625,0.07946893204769695,0.12093946600662385
D1111,0.42830882352941174,0.287861538969917,0.3442181243417523,0.08582089552238804,0.057518590413631936,0.06884815433073822,0.20955882352941177,0.14083595551133873,0.16841413063105273
D1112,0.37993421052631576,0.3045911967750545,0.33675715182478927,0.07666666666666667,0.06116533072579193,0.0677917133552324,0.17763157894736842,0.14089817563719717,0.1565441816975161
D1113,0.4095744680851064,0.19254111353907344,0.26176831333122796,0.07065217391304349,0.03248770837006131,0.044481689171267026,0.2473404255319149,0.11639333543714685,0.15819400198712452
D1114,0.26024590163934425,0.15722769484244806,0.19600432018785688,0.016666666666666666,0.010027238903799236,0.012520626337338817,0.1536885245901639,0.09309177891771078,0.11593599241581999
D1115,0.39870689655172414,0.2273302841235738,0.28951484392913024,0.041666666666666664,0.02354663635431768,0.030083413645228672,0.23275862068965517,0.13271741204721915,0.1690199255050051
D1116,0.3482142857142857,0.24327047424464215,0.2863768150290448,0.07971014492753623,0.05519265870514137,0.06521863338529649,0.20535714285714285,0.14354433407743394,0.16894827387451636
D1117,0.35294117647058826,0.2388047568164893,0.2847272839605227,0.06343283582089553,0.043253672705848324,0.05140368863502525,0.19485294117647056,0.13208662049408376,0.15736128665580656
D1118,0.3141025641025641,0.2581126844984815,0.2821502172385005,0.04058441558441559,0.034383265248886824,0.03702408705843443,0.15865384615384615,0.13047278235941484,0.14254860813725917
D1119,0.4413265306122448,0.21055211184288836,0.2850524893361982,0.1328125,0.06279413881559594,0.0852595362107408,0.25765306122448983,0.12263354411405522,0.16615260416440358
D1120,0.27586206896551724,0.24497782849186978,0.25920783297464023,0.03633720930232558,0.0319687537332587,0.033972778429800496,0.14942528735632182,0.13336516364796186,0.14077285861339361
D1121,0.36737804878048774,0.29473605548572446,0.3270482636343999,0.07561728395061729,0.06041786702942139,0.06716344472702325,0.19512195121951217,0.1563473307492535,0.1735829592965047
D1122,0.26676829268292684,0.2166776662601982,0.23911576999602657,0.033950617283950615,0.027621057966924652,0.030458277823944505,0.17073170731707316,0.13871516649532062,0.15305954055063106
D1123,0.3482142857142857,0.24821268161398227,0.28935300253767865,0.07971014492753623,0.057369523337159806,0.0665850402233706,0.20714285714285716,0.14841110135851043,0.17263650924582047
D1124,0.2303370786516854,0.20386665137101945,0.21627571373244525,0.01988636363636364,0.017621218217417873,0.018683255764914884,0.12780898876404492,0.11339577983533647,0.12015989704695637
D1125,0.32412790697674426,0.27206115945995496,0.2957735599267098,0.047058823529411764,0.039278464763945815,0.04281083643691509,0.16860465116279072,0.14164266632955283,0.15392619020020926
D1126,0.46370967741935487,0.28805769891970806,0.3551133978154524,0.09836065573770493,0.06049238789007004,0.0748693331612775,0.2701612903225806,0.16800173342514557,0.20702480700728912
D1127,0.22238372093023256,0.187803037921888,0.20362544776091918,0.011764705882352941,0.009890777256458677,0.010746118512082542,0.11773255813953488,0.0993947346313321,0.10778343826626187
D1128,0.36655405405405406,0.26717554544025435,0.3089971903274907,0.07534246575342465,0.054791855097395765,0.06342596014232177,0.18412162162162163,0.13445524883984314,0.15538090960479162
D1129,0.3749999999999999,0.29215860625707557,0.32839533970371687,0.07852564102564104,0.06080990107045877,0.06853289361926981,0.20411392405063292,0.1592248222945816,0.1788731074629175
D1130,0.36657303370786515,0.3329994122133962,0.3488498639269212,0.07528409090909091,0.06904632147514769,0.07200321992662284,0.16151685393258425,0.1470216792243485,0.153873963596312
D1131,0.33898305084745767,0.2002025525081398,0.25170595052185224,0.030172413793103446,0.01767037739438888,0.022286032180523392,0.1822033898305085,0.10769827812299931,0.13536270969009853
D1132,0.30769230769230765,0.24177579755777273,0.2707520202036269,0.021103896103896104,0.016538338296101362,0.01854185395646948,0.16346153846153846,0.1282952463397492,0.14374418174866593
D1133,0.3449367088607595,0.27731234791426873,0.3071866190440945,0.08653846153846154,0.06835798466484777,0.07633821560307032,0.19462025316455697,0.15597217957023768,0.173023217810443
D1134,0.27710843373493976,0.22772883457997284,0.24994259099337912,0.041158536585365856,0.0338532230744257,0.0371425966834497,0.14909638554216867,0.12251784636882807,0.13447559989399552
D1135,0.3218390804597701,0.2763483595319821,0.2973149829209574,0.04069767441860465,0.03476584571491594,0.037491504111929246,0.15373563218390807,0.13196899388169328,0.14199836412237465
D1136,0.26814516129032256,0.16780828935315684,0.20622739898245063,0.018442622950819675,0.011104133886239305,0.013861420778959903,0.16129032258064516,0.10135090063480647,0.12434359544354809
D1137,0.3892045454545454,0.3399782378277528,0.3628131374011828,0.07183908045977011,0.06344921930684148,0.0673645346907101,0.21732954545454547,0.19079411960686124,0.20313554112286572
